ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
NULL,108.8,181,244,196.2,262.2,254,135.4,261.6,220,210.2
PROS1,434.2,430.6,551.7,480.3,541.8,543.6,793.8,658.7,532.9,661.5
HDLBP,1371.5,1088.2,940.5,971.6,973.9,927.1,850.1,1091.5,741.4,877.2
KIAA0020,99,119,126.3,173,159.1,151.5,178.7,100.5,61.4,117.2
PTGER3,16,24.6,21,21,43,21.8,7.8,14,-19.5,13
SC5DL,110.5,148.3,274.7,190.9,365.4,194.2,494.3,212.3,401.9,346.2
CCR5,23.1,43,26,0.4,39,-4,11.3,-12.8,47.6,66.6
ATM,73.8,110.5,80,72,103.5,73.6,52,16.8,40.7,93.6
NPC1,383.9,265,420.6,504,584.8,340.9,459.7,361.2,458.4,521.2
SEMA3A,-46.6,-58.9,-57.8,-83.9,-37.2,-24,10.2,33.8,-87.6,1
EED,300.4,316,215.4,220.2,129,354.2,226.3,243,377.2,240.4
BCAT2,787,632.4,925.5,703.9,941.7,788.8,649.8,785.5,865.3,822.5
PRPSAP1,201,199.6,321.4,229.7,271.4,299.2,391.6,208.7,320.3,345.3
RB1,95.5,53.2,65,74.3,34.3,81.7,45,66.6,69.4,26
CD163,1313.1,1175,765.5,1723.9,1332.1,1215.5,1162.1,1252.3,1124,762.2
BMX,6.4,-18.2,16.7,33.2,-1.3,5.6,59,0.3,44.1,24.6
DPH2L1,215,374.9,217.1,369.8,287.1,280,294.3,368.3,112.5,169
PDIR,227.4,170.6,344.5,387.1,420.3,288,334.5,306,239,380.2
DPYSL3,995.7,1004.2,1515.2,945.2,768.7,980.9,1417.8,1370.5,1129.3,997.3
ERPROT213-21,318.8,299.4,265.9,279,299.9,248.9,238.8,309,203.9,296
DGCR6,859,792.5,920.8,868.8,681.4,763.1,644.7,664.3,731.2,872.3
DNAH9,22.4,-28.5,-41.5,-18.2,-38.3,-11.8,-29.2,-20.1,-52.7,-25.7
LAD1,147.5,171.7,179.6,217.3,282.5,323.2,271.9,338.6,202.8,216.6
KCNJ1,69.4,35.5,30.5,16.8,53.7,24.3,16.8,32,39,39
GNA12,25.3,3,53.2,79,37.8,65,47.3,6.3,20.3,124.5
DDX9,348,331.2,311.8,289,386,322.3,345.6,292,381.3,356
SMARCC2,214,248.7,210.2,243,264.1,227.3,193.6,107.2,228,379.4
RELA,798,821.5,1072.9,852.3,911.6,830.8,692.2,1053.8,638.7,1008.4
BAK1,105,106.2,40.5,82.6,120,148.7,84.4,65,10.8,40.7
MAPKAPK2,1780,1659.4,1578.4,1304.4,1477.7,1706.8,1138.6,1679.8,1662,1831.8
STAT5B,156.2,72,67.6,94,108,155.2,56.3,33.8,103.8,140.5
OR2H3,292.1,290.1,405.9,332.5,366.8,303.9,237.2,336.7,363.8,387.3
MYBL1,84,12,20.3,17.7,36.7,8.1,24,23.5,45,47
SPP1,942.6,112.2,62.7,1845.5,326.7,72,156.2,181.5,80.8,56.4
